country_name,player_name,country_code,age,continent,Value,fifa_score,Club,Salary,salary_n,value_n
Argentina,G. Campi,AR,26,SA,€950K,Fifa Score,Estudiantes de La Plata,€10K,10000,950000
Argentina,L. Civelli,AR,30,SA,€650K,Fifa Score,Banfield,€9K,9000,650000
Argentina,E. Cecchini,AR,20,SA,€1.4M,Fifa Score,Málaga CF,€9K,9000,1.4000000
Argentina,M. Benítez,AR,26,SA,€875K,Fifa Score,Belgrano de Córdoba,€8K,8000,875000
Argentina,P. Lugüercio,AR,35,SA,€400K,Fifa Score,Estudiantes de La Plata,€8K,8000,400000
Argentina,A. Canelo,AR,25,SA,€1.2M,Fifa Score,Deportivo Toluca,€11K,11000,1.2000000
Argentina,I. Rossi,AR,23,SA,€1.2M,Fifa Score,River Plate,€10K,10000,1.2000000
Argentina,M. Gelabert,AR,35,SA,€375K,Fifa Score,San Martín de San Juan,€5K,5000,375000
Argentina,O. Benítez,AR,24,SA,€1.4M,Fifa Score,Boca Juniors,€13K,13000,1.4000000
Argentina,F. Sbuttoni,AR,28,SA,€850K,Fifa Score,Atlético Tucumán,€7K,7000,850000
Argentina,N. Zárate,AR,24,SA,€1.1M,Fifa Score,Atlético Tucumán,€5K,5000,1.1000000
Argentina,J. Cavallaro,AR,23,SA,€1.5M,Fifa Score,San Lorenzo de Almagro,€11K,11000,1.5000000
Argentina,F. Espíndola,AR,32,SA,€850K,Fifa Score,Albacete Balompié,€6K,6000,850000
Argentina,E. Reynoso,AR,21,SA,€1.7M,Fifa Score,Talleres de Cordoba,€7K,7000,1.7000000
Argentina,C. Rigamonti,AR,30,SA,€675K,Fifa Score,Vélez Sarsfield,€6K,6000,675000
